yy m d hh mm ss cccccc lat lon TV TC FloV
2006 5 10 17 14 7 489304 33.804926 -116.780324 1.320000 22.616779 0.000000
2006 5 10 17 14 9 510067 33.804926 -116.780324 1.320000 22.616779 0.000000
2006 5 10 17 14 12 738771 33.804926 -116.780324 1.320000 22.616779 0.000000
2006 5 10 17 14 9 656212 33.804926 -116.780323 1.320000 22.616779 0.000000
2006 5 10 17 14 10 657135 33.804926 -116.780323 1.320000 22.616779 0.000000
2006 5 10 17 14 11 600570 33.804926 -116.780324 1.320000 22.616779 0.000000
2006 5 10 17 14 12 605797 33.804926 -116.780324 1.320000 22.616779 0.000000
2006 5 10 17 14 13 527822 33.804927 -116.780324 1.320000 22.616779 0.000000
2006 5 10 17 14 16 265290 33.804927 -116.780324 1.320000 22.616779 0.000000
2006 5 10 17 14 16 228180 33.804927 -116.780324 1.320000 22.616779 0.000000
2006 5 10 17 14 17 235891 33.804927 -116.780324 1.320000 22.616779 0.000000
2006 5 10 17 14 18 227532 33.804927 -116.780325 1.320000 22.616779 0.000000
2006 5 10 17 14 19 230059 33.804927 -116.780324 1.330000 22.852929 0.000000
2006 5 10 17 14 20 177138 33.804927 -116.780324 1.350000 23.321571 0.000000
2006 5 10 17 14 21 130642 33.804927 -116.780324 1.350000 23.321571 0.000000
2006 5 10 17 14 26 109847 33.804926 -116.780325 1.340000 23.087853 0.000000
2006 5 10 17 14 27 106192 33.804926 -116.780325 1.350000 23.321571 0.000000
2006 5 10 17 14 28 99022 33.804927 -116.780325 1.350000 23.321571 0.000000
2006 5 10 17 14 29 111562 33.804927 -116.780323 1.360000 23.554106 0.000000
2006 5 10 17 14 30 460533 33.804926 -116.780326 1.350000 23.321571 0.000000
2006 5 10 17 14 32 467189 33.804926 -116.780326 1.360000 23.554106 0.000000
2006 5 10 17 14 37 65550 33.804926 -116.780327 1.360000 23.554106 0.000000
2006 5 10 17 14 38 39351 33.804926 -116.780327 1.360000 23.554106 0.000000
2006 5 10 17 14 35 974377 33.804926 -116.780327 1.390000 24.244854 0.000000
2006 5 10 17 14 38 283827 33.804926 -116.780327 1.400000 24.472898 0.000000
2006 5 10 17 14 37 969989 33.804925 -116.780167 1.430000 25.150758 0.000000
2006 5 10 17 14 39 958237 33.804925 -116.780329 1.440000 25.374705 0.000000
2006 5 10 17 14 40 936907 33.804925 -116.780329 1.440000 25.374705 0.000000
2006 5 10 17 14 41 918917 33.804925 -116.780329 1.440000 25.374705 0.000000
2006 5 10 17 14 43 971865 33.804925 -116.780329 1.450000 25.597692 0.000000
2006 5 10 17 14 43 985593 33.804926 -116.780329 1.450000 25.597692 0.000000
2006 5 10 17 14 45 980785 33.804925 -116.780330 1.450000 25.597692 0.000000
2006 5 10 17 14 47 426428 33.804925 -116.780330 1.450000 25.597692 0.000000
2006 5 10 17 14 50 504621 33.804925 -116.780331 1.460000 25.819743 0.000000
2006 5 10 17 14 51 789310 33.804925 -116.780331 1.460000 25.819743 0.000000
2006 5 10 17 14 56 27939 33.804925 -116.780332 1.460000 25.819743 0.000000
2006 5 10 17 14 58 94168 33.804925 -116.780333 1.470000 26.040884 0.000000
2006 5 10 17 14 59 74111 33.804925 -116.780333 1.470000 26.040884 0.000000
2006 5 10 17 15 1 401901 33.804925 -116.780333 1.480000 26.261141 0.000000
2006 5 10 17 15 3 375711 33.804925 -116.780333 1.470000 26.040884 0.000000
2006 5 10 17 15 4 354358 33.804925 -116.780333 1.470000 26.040884 0.000000
2006 5 10 17 15 5 325515 33.804925 -116.780333 1.470000 26.040884 0.000000
2006 5 10 17 15 6 343733 33.804925 -116.780333 1.470000 26.040884 0.000000
2006 5 10 17 15 7 307593 33.804925 -116.780333 1.470000 26.040884 0.000000
2006 5 10 17 15 9 296880 33.804925 -116.780332 1.460000 25.819743 0.000000
2006 5 10 17 15 12 249003 33.804925 -116.780332 1.460000 25.819743 0.000000
2006 5 10 17 15 17 190579 33.804924 -116.780332 1.450000 25.597692 0.000000
